,ball_no,total_innings,mean_runs,cumal_runs,batsman
158,159,1.0,6.0,178.667801751,ViratKohli
159,160,1.0,1.0,179.667801751,ViratKohli
160,161,1.0,0.0,179.667801751,ViratKohli
161,162,1.0,1.0,180.667801751,ViratKohli
162,163,1.0,1.0,181.667801751,ViratKohli
163,164,1.0,6.0,187.667801751,ViratKohli
164,165,1.0,4.0,191.667801751,ViratKohli
0,1,101.0,0.514851485149,0.514851485149,JoeRoot
1,2,100.0,0.42,0.934851485149,JoeRoot
2,3,99.0,0.464646464646,1.39949794979,JoeRoot
3,4,97.0,0.824742268041,2.22424021784,JoeRoot
4,5,96.0,0.635416666667,2.8596568845,JoeRoot
5,6,93.0,0.720430107527,3.58008699203,JoeRoot
6,7,92.0,0.836956521739,4.41704351377,JoeRoot
7,8,88.0,0.863636363636,5.28067987741,JoeRoot
8,9,86.0,0.767441860465,6.04812173787,JoeRoot
9,10,84.0,0.654761904762,6.70288364263,JoeRoot
10,11,83.0,0.590361445783,7.29324508842,JoeRoot
11,12,83.0,0.843373493976,8.13661858239,JoeRoot
12,13,81.0,0.888888888889,9.02550747128,JoeRoot
13,14,81.0,0.777777777778,9.80328524906,JoeRoot
14,15,79.0,0.683544303797,10.4868295529,JoeRoot
15,16,77.0,0.766233766234,11.2530633191,JoeRoot
16,17,75.0,0.92,12.1730633191,JoeRoot
17,18,74.0,0.851351351351,13.0244146704,JoeRoot
18,19,73.0,0.986301369863,14.0107160403,JoeRoot
19,20,73.0,0.986301369863,14.9970174102,JoeRoot
20,21,73.0,0.835616438356,15.8326338485,JoeRoot
21,22,73.0,0.753424657534,16.5860585061,JoeRoot
22,23,72.0,1.08333333333,17.6693918394,JoeRoot
23,24,72.0,0.916666666667,18.5860585061,JoeRoot
24,25,70.0,0.757142857143,19.3432013632,JoeRoot
25,26,70.0,0.842857142857,20.1860585061,JoeRoot
26,27,68.0,0.808823529412,20.9948820355,JoeRoot
27,28,68.0,0.764705882353,21.7595879178,JoeRoot
28,29,67.0,0.671641791045,22.4312297089,JoeRoot
29,30,67.0,0.910447761194,23.3416774701,JoeRoot
30,31,67.0,0.746268656716,24.0879461268,JoeRoot
31,32,67.0,0.820895522388,24.9088416492,JoeRoot
32,33,66.0,0.924242424242,25.8330840734,JoeRoot
33,34,66.0,0.969696969697,26.8027810431,JoeRoot
34,35,66.0,0.80303030303,27.6058113461,JoeRoot
35,36,66.0,0.80303030303,28.4088416492,JoeRoot
36,37,66.0,0.772727272727,29.1815689219,JoeRoot
37,38,64.0,0.734375,29.9159439219,JoeRoot
38,39,63.0,0.84126984127,30.7572137632,JoeRoot
39,40,63.0,0.968253968254,31.7254677314,JoeRoot
40,41,62.0,0.91935483871,32.6448225701,JoeRoot
41,42,61.0,1.06557377049,33.7103963406,JoeRoot
42,43,60.0,0.816666666667,34.5270630073,JoeRoot
43,44,59.0,0.64406779661,35.1711308039,JoeRoot
44,45,57.0,1.0350877193,36.2062185232,JoeRoot
45,46,56.0,0.946428571429,37.1526470946,JoeRoot
46,47,56.0,0.892857142857,38.0455042375,JoeRoot
47,48,55.0,1.10909090909,39.1545951466,JoeRoot
48,49,55.0,0.890909090909,40.0455042375,JoeRoot
49,50,52.0,0.788461538462,40.8339657759,JoeRoot
50,51,49.0,0.816326530612,41.6502923065,JoeRoot
51,52,48.0,0.729166666667,42.3794589732,JoeRoot
52,53,47.0,1.1914893617,43.5709483349,JoeRoot
